Username,Team,MapName,Date,Tournament,Opponent,MapResult,Rating,Kills,Assists,Deaths,HeadshotPercentage,KAST,KillDeathDiff,ADR,FirstKillDiff,FlashAssists,HltvMapID,HltvTournamentID
k1to,OG,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.98,16,0,16,0.62,68.2%,0,62.1,-2,0,159788,6973
regali,OG,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.83,14,0,18,0.64,59.1%,-4,64.3,-1,0,159788,6973
F1KU,OG,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.59,10,2,19,0.4,59.1%,-9,47.8,-1,1,159788,6973
FASHR,OG,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.40,3,6,19,0.0,45.5%,-16,44.8,-6,0,159788,6973
nexa,OG,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.36,7,2,21,0.29,40.9%,-14,45.8,-4,0,159788,6973
m0NESY,G2,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,2.30,30,7,9,0.5,90.9%,+21,139.1,+4,4,159788,6973
NiKo,G2,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.53,17,3,10,0.65,90.9%,+7,82.8,+5,0,159788,6973
huNter-,G2,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.33,16,3,12,0.25,81.8%,+4,82.4,+4,2,159788,6973
HooXi,G2,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.19,15,8,10,0.67,72.7%,+5,69.8,-1,4,159788,6973
jks,G2,Ancient,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.16,15,1,9,0.8,81.8%,+6,63.8,+2,0,159788,6973
nexa,OG,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.94,14,4,15,0.5,68.2%,-1,67.7,+1,2,159792,6973
FASHR,OG,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.79,9,6,16,0.44,68.2%,-7,63.9,0,1,159792,6973
F1KU,OG,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.77,11,3,16,0.36,54.5%,-5,69.0,-3,1,159792,6973
regali,OG,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.62,8,1,15,0.25,68.2%,-7,37.3,-1,0,159792,6973
k1to,OG,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,G2,True,0.47,8,3,19,0.62,54.5%,-11,40.3,-3,0,159792,6973
m0NESY,G2,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.49,15,6,14,0.8,86.4%,+1,96.4,+3,0,159792,6973
jks,G2,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.43,19,0,7,0.79,86.4%,+12,72.4,0,0,159792,6973
huNter-,G2,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.39,15,6,10,0.53,95.5%,+5,71.0,+3,2,159792,6973
NiKo,G2,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.35,17,3,9,0.53,86.4%,+8,71.2,-2,3,159792,6973
HooXi,G2,Inferno,2023-07-17 18:45,BLAST Premier Fall Groups 2023,OG,False,1.25,14,4,11,0.5,81.8%,+3,69.4,+2,3,159792,6973
Twistzz,FaZe,Inferno,2023-07-17 15:00,BLAST Premier Fall Groups 2023,Liquid,True,1.35,24,3,16,0.54,77.8%,+8,89.2,+3,0,159776,6973
rain,FaZe,Inferno,2023-07-17 15:00,BLAST Premier Fall Groups 2023,Liquid,True,1.16,19,8,17,0.47,81.5%,+2,86.7,-2,3,159776,6973
broky,FaZe,Inferno,2023-07-17 15:00,BLAST Premier Fall Groups 2023,Liquid,True,1.10,21,7,16,0.19,77.8%,+5,76.0,0,6,159776,6973
